1	က သဒ္ဒေါ အပ္ပတ္ထော	0	3	76
2	ကကစူပမသုတ်	1	1	320
3	ကကစူပမသုတ်အဖွင့်	5	3	485
4	ကကစေနာတိ	0	3	690
5	ကကဏ္ဋ ဇာတကံ	2	1	350
6	ကကာရော ပနေတ္ထ အနုကမ္ပာယ ဒဋ္ဌဗ္ဗော	0	1	275
7	ကကုဓထေရသုတ်	1	1	329
8	ကကုဓသုတ်	1	1	323
9	ကကုဓသုတ်အဖွင့်	5	3	438
10	ကကုသန္ဓ ဘုရားရှင်လက်ထက် ဒုသီမာရ်နတ်ကြီးက	10	1	275
11	ကကုသန္ဓဗုဒ္ဓဝံသ ဝဏ္ဏနာ	5	1	275
12	ကကုသန္ဓမြတ်စွာဘုရားအကြောင်း	0	3	581
13	ကက္ကဋ ဇာတက	2	1	350
14	ကက္ကဋကရသ ဒါယကဝိမာနဝတ္ထု	3	1	340
15	ကက္ကဋက္ခိနီ ဥက္ကိရန္တီတိ	0	3	581
16	ကက္ကန္တိ	0	3	485
17	ကက္ကသာတိ ပူတိကာ	0	1	320
18	ကက္ကာရုဇာတက	2	1	350
19	ကက္ကာရုပုပ္ဖပူဇကတ္ထေရအပဒါန	9	1	345
20	ကက္ခဠတ္တံ ကထိနဘာဝေါ	0	3	77
21	ကက္ခဠန္တိ ကထိနံ	0	3	77
22	ကချေသည်တို့ကို ငြီးငွေ့ပြီး ပစ္စေကဗုဒ္ဓါဖြစ်သွားသော ဗြဟ္မဒတ်မင်း	11	1	339
23	ကခြင်း, သီဆိုခြင်း၌ လောဘဖြစ်လွန်း	0	1	345
24	ကင်္ကလသဒ္ဒေါ နိရုဠှောတိ	0	3	76
25	ကင်္ခတိ၊ ဝိစိကိစ္ဆာတိ၊ နာဓိမုစ္စတိ၊ န သမ္ပသီဒတိ ပုဒ်များအဖွင့်	5	3	485
26	ကင်္ခနတောတိ	0	3	485
27	ကင်္ခါနှင့်ဝိမတိ အထူး	0	3	76
28	ကင်္ခါရေဝတတ္ထေရဝတ္ထု	9	3	389
29	ကင်္ခါရေဝတမထေရ်ဝတ္ထု	9	1	275
30	ကင်္ခါဝိတရဏဝိသုဒ္ဓိနိဒ္ဒေသ	0	1	344
31	ကင်္ခါဝိတရဏဝိသုဒ္ဓိနိဒ္ဒေသဝဏ္ဏနာ	5	3	77
32	ကင်္ခေယျသုတ်	1	1	323
33	ကစားခြင်း၌ အပြစ် ခြောက်ပါး	13	1	360
34	ကစားနည်း အမျိုးမျိုးကို ပြဆိုခန်း	0	1	275
35	ကစားနည်းမျိုးစုံအဖွင့်	5	3	77
36	ကစားလိုသောစိတ်ဖြင့်	0	1	340
37	ကစားသမားတို့နိုင်လိုလျှင် ‘‘နမော ဗုဒ္ဓဿ’’	0	1	335
38	ကစ္စာနဂေါတ္တသုတ်	1	1	323
39	ကစ္စာနဂေါတ္တသုတ်အဖွင့်	5	3	438
40	ကစ္စာနိဇာတက	2	1	350
41	ကစ္စိ ခမနီယံ၊ ယာပနီယံ စသော ပုဒ်များအဖွင့်	5	3	77
42	ကစ္စီတိ ပုစ္ဆာ	0	1	275
43	ကစ္ဆကောတိ	0	3	690
44	ကစ္ဆပဇာတက	2	1	350
45	ကစ္ဆမာယာနာတိ	0	3	485
46	ကစ္ဆသေဒ္ဒါ	0	3	550
47	ကစ္ဆူတိ	0	3	389
48	ကစ္ဆေတိ	0	3	626
49	ကဆုန်လပြည့်ဗုဒ္ဓနေ့	0	1	360
50	ကဉ္စနက္ခန္ဓက ဇာတက	2	1	350
51	ကဉ္စိယေနေဝါတိ	0	3	485
52	ကဉ္စုကံ နာမ	0	3	638
53	ကဉ္ဇိကာဒါယိကာဝိမာနဝတ္ထု	3	1	340
54	ကဉ္ဇိယတော ဇာတန္တိ	0	3	521
55	ကဋကံ ဖလမေတဿာတိ ကဋုကဖလံ	0	3	581
56	ကဋဂ္ဂဟော ဝုစ္စတိ ဇယဂ္ဂဟော	0	3	485
57	ကဋဂ္ဂဟောတိ	0	3	485
58	ကဋဂ္ဂဟောတိ ဇယဂ္ဂါဟော	0	1	320
59	ကဋစ္ဆု ဒဗ္ဗီတိ	0	3	550
60	ကဋစ္ဆုဂါဟော	0	3	655
61	ကဋစ္ဆုဘိက္ခာဒါယိကာထေရီ အပဒါန	9	1	345
62	ကဋာကဋေနာတိ မုဂ္ဂေ ပစိတွာ	0	3	77
63	ကဋာဟက ဇာတက	2	1	350
64	ကဋုကာတိ	0	3	438
65	ကဋုကာတိ	0	3	485
66	ကဋုဝိယသုတ္တဝဏ္ဏနာ	5	3	389
67	ကဋုဝိယသုတ်	1	1	329
68	ကဋ္ဌဝါဟနဇာတက	2	1	351
69	ကဋ္ဌဝါဟနမင်းဝတ္ထု	11	3	389
70	ကဋ္ဌဝါဟနမြို့	12	1	339
71	ကဋ္ဌဟာရသုတ်အဖွင့်	5	3	438
72	ကဋ္ဌီသုတ်	1	1	330
73	ကဋ္ဌောပမသုတ်	1	1	323
74	ကဋ္ဌောပမာသုတ်အဖွင့်	5	3	438
75	ကဌိနတပနပဉ္စ	0	1	343
76	ကဍ္ဎတီတိ	0	3	611
77	ကဍ္ဎတီတိ ဟေဋ္ဌတော	0	3	77
78	ကဏဝေရဇာတက	2	1	351
