1	က သဒ္ဒေါ အပ္ပတ္ထော	3	76
2	ကကစူပမသုတ်	1	300
3	ကကစူပမသုတ်အဖွင့်	3	485
4	ကကစေနာတိ	3	690
5	ကကဏ္ဋ ဇာတကံ	1	330
6	ကကာရော ပနေတ္ထ အနုကမ္ပာယ ဒဋ္ဌဗ္ဗော	1	255
7	ကကုဓထေရသုတ်	1	309
8	ကကုဓသုတ်	1	303
9	ကကုဓသုတ်အဖွင့်	3	438
10	ကကုသန္ဓ ဘုရားရှင်လက်ထက် ဒုသီမာရ်နတ်ကြီးက	1	255
11	ကကုသန္ဓဗုဒ္ဓဝံသ ဝဏ္ဏနာ	1	255
12	ကကုသန္ဓမြတ်စွာဘုရားအကြောင်း	3	581
13	ကက္ကဋ ဇာတက	1	330
14	ကက္ကဋကရသ ဒါယကဝိမာနဝတ္ထု	1	320
15	ကက္ကဋက္ခိနီ ဥက္ကိရန္တီတိ	3	581
16	ကက္ကန္တိ	3	485
17	ကက္ကသာတိ ပူတိကာ	1	300
18	ကက္ကာရုဇာတက	1	330
19	ကက္ကာရုပုပ္ဖပူဇကတ္ထေရအပဒါန	1	325
20	ကက္ခဠတ္တံ ကထိနဘာဝေါ	3	77
21	ကက္ခဠန္တိ ကထိနံ	3	77
22	ကချေသည်တို့ကို ငြီးငွေ့ပြီး ပစ္စေကဗုဒ္ဓါဖြစ်သွားသော ဗြဟ္မဒတ်မင်း	1	319
23	ကခြင်း, သီဆိုခြင်း၌ လောဘဖြစ်လွန်း	1	325
24	ကင်္ကလသဒ္ဒေါ နိရုဠှောတိ	3	76
25	ကင်္ခတိ၊ ဝိစိကိစ္ဆာတိ၊ နာဓိမုစ္စတိ၊ န သမ္ပသီဒတိ ပုဒ်များအဖွင့်	3	485
26	ကင်္ခနတောတိ	3	485
27	ကင်္ခါနှင့်ဝိမတိ အထူး	3	76
28	ကင်္ခါရေဝတတ္ထေရဝတ္ထု	3	389
29	ကင်္ခါရေဝတမထေရ်ဝတ္ထု	1	255
30	ကင်္ခါဝိတရဏဝိသုဒ္ဓိနိဒ္ဒေသ	1	324
31	ကင်္ခါဝိတရဏဝိသုဒ္ဓိနိဒ္ဒေသဝဏ္ဏနာ	3	77
32	ကင်္ခေယျသုတ်	1	303
33	ကစားခြင်း၌ အပြစ် ခြောက်ပါး	1	340
34	ကစားနည်း အမျိုးမျိုးကို ပြဆိုခန်း	1	255
35	ကစားနည်းမျိုးစုံအဖွင့်	3	77
